City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs),Date
0,Thompson,55.74,-97.86,14.0,66,90,5.82,CA,overcast clouds,0.0,0.0,2020-02-23 18:40:10
1,Busselton,-33.65,115.33,68.0,44,93,15.14,AU,light rain,0.69,0.0,2020-02-23 18:40:44
2,Rio Grande,-32.03,-52.1,78.8,47,20,17.22,BR,few clouds,0.0,0.0,2020-02-23 18:49:01
3,Rikitea,-23.12,-134.97,78.37,74,2,8.25,PF,light rain,0.44,0.0,2020-02-23 18:40:23
4,Mataura,-46.19,168.86,51.01,92,93,3.0,NZ,overcast clouds,0.0,0.0,2020-02-23 18:40:31
5,Punta Arenas,-53.15,-70.92,57.2,58,75,28.86,CL,light intensity shower rain,0.0,0.0,2020-02-23 18:40:24
6,Hammerfest,70.66,23.68,30.2,100,75,9.17,NO,light snow,0.0,0.0,2020-02-23 18:49:02
7,Southbridge,42.08,-72.03,54.0,27,20,11.41,US,few clouds,0.0,0.0,2020-02-23 18:49:03
8,Fare,-16.7,-151.02,82.72,70,47,10.8,PF,scattered clouds,0.0,0.0,2020-02-23 18:49:03
9,Itoman,26.12,127.67,62.6,77,20,1.12,JP,few clouds,0.0,0.0,2020-02-23 18:41:20
10,Ixtapa,20.7,-105.2,80.6,69,40,9.17,MX,scattered clouds,0.0,0.0,2020-02-23 18:47:10
11,Ribeira Grande,38.52,-28.7,62.6,67,75,5.82,PT,broken clouds,0.0,0.0,2020-02-23 18:40:28
12,Ullapool,57.9,-5.16,42.01,78,70,1.99,GB,light snow,0.0,0.19,2020-02-23 18:49:04
13,Cayenne,4.93,-52.33,84.2,70,75,14.99,GF,broken clouds,0.0,0.0,2020-02-23 18:41:14
14,Naron,43.52,-8.15,54.0,93,0,2.24,ES,clear sky,0.0,0.0,2020-02-23 18:49:05
15,Hovd,48.01,91.64,17.64,66,100,1.9,MN,overcast clouds,0.0,0.0,2020-02-23 18:49:05
16,Kaspiyskiy,45.39,47.37,42.71,66,99,5.5,RU,overcast clouds,0.0,0.0,2020-02-23 18:49:05
17,Kavieng,-2.57,150.8,84.34,72,49,11.52,PG,scattered clouds,0.0,0.0,2020-02-23 18:40:28
18,Wattwil,47.3,9.09,64.4,39,90,18.34,CH,overcast clouds,0.0,0.0,2020-02-23 18:49:06
19,Puerto Ayora,-0.74,-90.35,84.2,74,20,12.75,EC,few clouds,0.0,0.0,2020-02-23 18:41:13
20,Helsingborg,56.05,12.69,39.99,93,83,13.87,SE,light rain,0.63,0.0,2020-02-23 18:49:06
21,Hermanus,-34.42,19.23,73.0,74,0,5.99,ZA,clear sky,0.0,0.0,2020-02-23 18:40:40
22,Castro,-24.79,-50.01,79.45,39,100,1.3,BR,overcast clouds,0.0,0.0,2020-02-23 18:40:33
23,Abeche,13.83,20.83,79.45,10,0,13.6,TD,clear sky,0.0,0.0,2020-02-23 18:49:07
24,Kankon,15.02,74.02,82.4,61,20,3.36,IN,few clouds,0.0,0.0,2020-02-23 18:49:07
25,Atuona,-9.8,-139.03,81.3,78,20,15.3,PF,light rain,0.5,0.0,2020-02-23 18:40:33
26,Vao,-22.67,167.48,77.65,76,83,14.32,NC,broken clouds,0.0,0.0,2020-02-23 18:46:52
27,Khandyga,62.67,135.6,-5.48,98,100,1.99,RU,light snow,0.0,0.19,2020-02-23 18:46:54
28,Porto Santo,33.07,-16.34,68.0,72,20,16.11,PT,few clouds,0.0,0.0,2020-02-23 18:49:08
29,Bredasdorp,-34.53,20.04,66.2,59,0,12.75,ZA,clear sky,0.0,0.0,2020-02-23 18:40:24
30,Port Elizabeth,-33.92,25.57,62.6,72,8,3.36,ZA,clear sky,0.0,0.0,2020-02-23 18:40:43
31,Isangel,-19.55,169.27,69.8,94,20,13.98,VU,few clouds,0.0,0.0,2020-02-23 18:37:22
32,Tunceli,39.11,39.55,41.0,93,40,5.82,TR,scattered clouds,0.0,0.0,2020-02-23 18:49:09
33,Sebring,27.5,-81.44,77.0,46,75,4.7,US,broken clouds,0.0,0.0,2020-02-23 18:49:09
34,Cape Town,-33.93,18.42,73.0,49,0,21.92,ZA,clear sky,0.0,0.0,2020-02-23 18:36:42
35,Broken Hill,-31.95,141.43,69.8,64,18,16.11,AU,few clouds,0.0,0.0,2020-02-23 18:49:09
36,Albany,42.6,-73.97,51.01,29,75,4.7,US,broken clouds,0.0,0.0,2020-02-23 18:40:24
37,Hofn,64.25,-15.21,37.11,56,30,24.49,IS,scattered clouds,0.0,0.0,2020-02-23 18:40:48
38,Bambous Virieux,-20.34,57.76,77.0,88,75,4.7,MU,broken clouds,0.0,0.0,2020-02-23 18:36:46
39,Teguise,29.06,-13.56,73.4,53,58,21.92,ES,haze,0.0,0.0,2020-02-23 18:41:47
40,Asau,46.43,26.4,46.4,61,100,10.29,RO,overcast clouds,0.0,0.0,2020-02-23 18:40:49
41,Ulladulla,-35.35,150.47,66.2,77,92,5.82,AU,overcast clouds,0.0,0.0,2020-02-23 18:49:11
42,Atambua,-9.11,124.89,75.07,86,44,2.13,ID,scattered clouds,0.0,0.0,2020-02-23 18:49:05
43,Boguchany,58.38,97.45,10.22,96,38,3.06,RU,scattered clouds,0.0,0.0,2020-02-23 18:48:16
44,Barrow,71.29,-156.79,-29.2,81,20,10.29,US,few clouds,0.0,0.0,2020-02-23 18:40:34
45,Chokurdakh,70.63,147.92,-22.4,99,96,3.74,RU,overcast clouds,0.0,0.0,2020-02-23 18:41:05
46,Port Blair,11.67,92.75,81.14,75,41,12.1,IN,scattered clouds,0.0,0.0,2020-02-23 18:49:12
47,Lebu,-37.62,-73.65,69.19,57,2,9.35,CL,clear sky,0.0,0.0,2020-02-23 18:40:46
48,Weligama,5.97,80.42,75.51,87,94,10.89,LK,overcast clouds,0.0,0.0,2020-02-23 18:49:12
49,Avarua,-21.21,-159.78,80.6,94,100,5.82,CK,moderate rain,0.0,0.0,2020-02-23 18:41:04
50,Salekhard,66.53,66.6,27.79,85,79,20.11,RU,broken clouds,0.0,0.0,2020-02-23 18:49:13
51,Tasiilaq,65.61,-37.64,10.4,72,96,2.24,GL,overcast clouds,0.0,0.0,2020-02-23 18:40:50
52,Saint-Philippe,-21.36,55.77,77.0,78,0,3.36,RE,clear sky,0.0,0.0,2020-02-23 18:40:35
53,Tigre,-34.43,-58.58,82.0,47,40,9.17,AR,scattered clouds,0.0,0.0,2020-02-23 18:49:13
54,Jalu,29.03,21.55,57.83,39,49,10.11,LY,scattered clouds,0.0,0.0,2020-02-23 18:41:33
55,Tual,-5.67,132.75,82.9,79,82,11.81,ID,light rain,0.81,0.0,2020-02-23 18:49:14
56,Marzuq,14.4,46.47,65.08,56,0,5.95,YE,clear sky,0.0,0.0,2020-02-23 18:49:14
57,Esna,25.29,32.55,60.89,29,100,9.28,EG,overcast clouds,0.0,0.0,2020-02-23 18:49:14
58,Itarema,-2.92,-39.92,85.75,69,85,4.65,BR,light rain,0.31,0.0,2020-02-23 18:41:22
59,Carnarvon,-24.87,113.63,75.2,88,40,8.05,AU,scattered clouds,0.0,0.0,2020-02-23 18:40:49
60,Cooma,-36.23,149.13,53.6,93,60,5.82,AU,broken clouds,0.0,0.0,2020-02-23 18:49:15
61,Kirakira,-10.45,161.92,77.22,88,1,6.15,SB,clear sky,0.0,0.0,2020-02-23 18:49:15
62,Salihorsk,52.79,27.54,36.63,74,20,9.04,BY,few clouds,0.0,0.0,2020-02-23 18:49:16
63,Port Alfred,-33.59,26.89,62.01,81,52,8.03,ZA,broken clouds,0.0,0.0,2020-02-23 18:40:24
64,Lorengau,-2.02,147.27,83.43,71,10,6.78,PG,clear sky,0.0,0.0,2020-02-23 18:40:59
65,Cloppenburg,52.85,8.03,42.01,86,100,10.29,DE,light rain,0.94,0.0,2020-02-23 18:44:38
66,Georgetown,5.41,100.34,80.6,83,40,4.16,MY,scattered clouds,0.0,0.0,2020-02-23 18:41:20
67,Nikolskoye,59.7,30.79,37.4,90,75,8.95,RU,broken clouds,0.0,0.0,2020-02-23 18:40:34
68,Tura,25.52,90.22,68.13,48,0,4.05,IN,clear sky,0.0,0.0,2020-02-23 18:41:09
69,Tuktoyaktuk,69.45,-133.04,-5.8,76,90,13.87,CA,light snow,0.0,0.0,2020-02-23 18:40:23
70,Belokurikha,52.0,84.99,16.03,95,96,2.39,RU,light snow,0.0,0.12,2020-02-23 18:49:17
71,Toyooka,35.53,134.83,32.97,81,0,3.09,JP,clear sky,0.0,0.0,2020-02-23 18:49:17
72,Shingu,33.73,135.98,46.08,65,0,9.15,JP,clear sky,0.0,0.0,2020-02-23 18:49:18
73,Antalaha,-14.9,50.28,82.99,75,98,0.78,MG,overcast clouds,0.0,0.0,2020-02-23 18:49:18
74,Hondo,32.45,130.2,42.01,70,0,3.0,JP,clear sky,0.0,0.0,2020-02-23 18:49:18
75,Boa Vista,2.82,-60.67,95.0,36,75,9.17,BR,broken clouds,0.0,0.0,2020-02-23 18:49:18
76,Atar,20.52,-13.05,92.32,8,100,7.14,MR,overcast clouds,0.0,0.0,2020-02-23 18:45:36
77,Leh,34.17,77.58,-2.96,60,0,3.94,IN,clear sky,0.0,0.0,2020-02-23 18:49:19
78,Tacoronte,28.48,-16.41,73.99,48,1,13.87,ES,haze,0.0,0.0,2020-02-23 18:49:19
79,Bluff,-46.6,168.33,51.01,92,40,3.0,NZ,scattered clouds,0.0,0.0,2020-02-23 18:40:33
80,Ciudad Bolivar,8.12,-63.55,95.22,34,84,7.23,VE,broken clouds,0.0,0.0,2020-02-23 18:49:19
81,Cape Coast,5.11,-1.25,82.54,87,47,17.22,GH,scattered clouds,0.0,0.0,2020-02-23 18:49:19
82,Pangnirtung,66.15,-65.71,-31.0,59,20,4.7,CA,few clouds,0.0,0.0,2020-02-23 18:42:18
83,Codrington,-38.27,141.97,62.11,87,99,14.76,AU,overcast clouds,0.0,0.0,2020-02-23 18:40:57
