City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rio Grande,BR,78.8,few clouds,-32.03,-52.1,Swan Express Rio Grande
3,Rikitea,PF,78.37,light rain,-23.12,-134.97,Pension Maro'i
8,Fare,PF,82.72,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
10,Ixtapa,MX,80.6,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
13,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
17,Kavieng,PG,84.34,scattered clouds,-2.57,150.8,Nusa Island Retreat
19,Puerto Ayora,EC,84.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
21,Hermanus,ZA,73.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
22,Castro,BR,79.45,overcast clouds,-24.79,-50.01,CHACARA BAILLY
23,Abeche,TD,79.45,clear sky,13.83,20.83,Assaleh Hamdan Haroune
24,Kankon,IN,82.4,few clouds,15.02,74.02,Palolem Beach Resort
25,Atuona,PF,81.3,light rain,-9.8,-139.03,Villa Enata
26,Vao,NC,77.65,broken clouds,-22.67,167.48,Hotel Kou-Bugny
33,Sebring,US,77.0,broken clouds,27.5,-81.44,La Quinta Inn & Suites by Wyndham Sebring
34,Cape Town,ZA,73.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
38,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
39,Teguise,ES,73.4,haze,29.06,-13.56,B&B La Casona de Nazaret
42,Atambua,ID,75.07,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
46,Port Blair,IN,81.14,scattered clouds,11.67,92.75,Fortune Resort Bay Island
48,Weligama,LK,75.51,overcast clouds,5.97,80.42,Weligama Bay Resort
49,Avarua,CK,80.6,moderate rain,-21.21,-159.78,Paradise Inn
52,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
53,Tigre,AR,82.0,scattered clouds,-34.43,-58.58,Puerto Delta Apartamentos
55,Tual,ID,82.9,light rain,-5.67,132.75,Grand Vilia Hotel
58,Itarema,BR,85.75,light rain,-2.92,-39.92,Windvillage
59,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
61,Kirakira,SB,77.22,clear sky,-10.45,161.92,SanBiz Lodge
64,Lorengau,PG,83.43,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
66,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
73,Antalaha,MG,82.99,overcast clouds,-14.9,50.28,Hotel Vitasoa
78,Tacoronte,ES,73.99,haze,28.48,-16.41,Haciendas del Valle - Casa San Miguel
81,Cape Coast,GH,82.54,scattered clouds,5.11,-1.25,Samrit Hotel
87,Kongolo,CD,74.28,light rain,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
88,Bubaque,GW,79.77,overcast clouds,11.28,-15.83,Casa Dora
89,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
90,Butaritari,KI,84.7,moderate rain,3.07,172.79,Isles Sunset Lodge
91,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
92,Ambon,ID,81.36,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
94,Porto Velho,BR,78.8,overcast clouds,-8.76,-63.9,Ecos Hotel Conforto
96,Cidreira,BR,71.91,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
97,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
99,Taoudenni,ML,88.32,broken clouds,22.68,-3.98,
105,Santa Maria,BR,80.6,scattered clouds,-29.68,-53.81,Hotel Morotin
107,Hilo,US,70.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
111,Buraydah,SA,73.4,overcast clouds,26.33,43.98,Mövenpick Hotel Qassim
113,Formosa,AR,82.4,broken clouds,-26.18,-58.18,Asterión Hotel
118,Kilinochchi,LK,78.24,overcast clouds,9.4,80.4,Solaivanam Guest House
124,Namatanai,PG,83.73,broken clouds,-3.67,152.43,Namatanai Hotel
126,Pangkalanbuun,ID,75.56,clear sky,-2.68,111.62,Grand Kecubung Hotel
131,Ponta Do Sol,PT,70.0,few clouds,32.67,-17.1,Hotel do Campo
137,Hithadhoo,MV,83.26,light rain,-0.6,73.08,Scoop Guest House
141,Chuy,UY,71.78,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
142,Alofi,NU,80.6,light rain,-19.06,-169.92,Taloa Heights
153,San Cristobal,VE,80.6,broken clouds,7.77,-72.22,Pirineos
154,Jacareacanga,BR,75.96,light rain,-6.22,-57.75,Casa do Ian😎
