City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arlit,NE,2020-02-21 06:50:16,18.74,7.39,62.55,22,34,9.19
1,Ushuaia,AR,2020-02-21 06:50:17,-54.8,-68.3,57.2,62,75,17.22
2,Carnarvon,AU,2020-02-21 06:50:17,-24.87,113.63,87.8,62,100,20.8
3,Cabo San Lucas,MX,2020-02-21 06:50:17,22.89,-109.91,70.0,56,0,6.82
4,Broome,US,2020-02-21 06:50:18,42.25,-75.83,15.8,92,90,2.86
5,Ponta Do Sol,PT,2020-02-21 06:50:18,32.67,-17.1,57.2,71,40,11.41
6,Palauig,PH,2020-02-21 06:50:18,15.44,119.9,85.86,41,4,3.91
7,Rikitea,PF,2020-02-21 06:50:18,-23.12,-134.97,78.49,75,42,13.85
8,Albany,US,2020-02-21 06:50:19,42.6,-73.97,18.0,85,1,3.36
9,Bandarbeyla,SO,2020-02-21 06:50:19,9.49,50.81,77.83,72,52,9.62
10,Kodiak,US,2020-02-21 06:50:19,57.79,-152.41,32.0,74,90,10.29
11,Buala,SB,2020-02-21 06:50:20,-8.14,159.59,85.78,68,100,8.05
12,Chokurdakh,RU,2020-02-21 06:50:20,70.63,147.92,-14.21,97,87,1.52
13,Zapolyarnyy,RU,2020-02-21 06:50:20,69.42,30.81,23.0,92,90,38.03
14,Kimbe,PG,2020-02-21 06:50:20,-5.55,150.14,81.05,84,70,5.21
15,Longyearbyen,SJ,2020-02-21 06:47:08,78.22,15.64,5.0,71,75,3.36
16,Hilo,US,2020-02-21 06:50:21,19.73,-155.09,69.8,77,1,10.0
17,Saskylakh,RU,2020-02-21 06:50:21,71.92,114.08,-12.41,98,89,2.57
18,Mehamn,NO,2020-02-21 06:50:21,71.04,27.85,28.4,92,90,16.11
19,Barrow,US,2020-02-21 06:50:22,71.29,-156.79,-16.6,75,75,10.29
20,New Norfolk,AU,2020-02-21 06:47:07,-42.78,147.06,62.6,39,20,18.34
21,Monterey,US,2020-02-21 06:50:23,36.25,-121.25,53.01,66,1,3.36
22,Puerto Ayora,EC,2020-02-21 06:50:23,-0.74,-90.35,77.74,88,77,8.5
23,Bredasdorp,ZA,2020-02-21 06:50:23,-34.53,20.04,71.01,88,0,2.24
24,Avarua,CK,2020-02-21 06:50:24,-21.21,-159.78,82.4,88,100,10.29
25,Guarapari,BR,2020-02-21 06:50:24,-20.67,-40.5,80.6,74,4,10.29
26,Puerto Asis,CO,2020-02-21 06:50:24,0.51,-76.5,73.31,94,94,2.57
27,Kruisfontein,ZA,2020-02-21 06:50:24,-34.0,24.73,68.09,76,3,4.34
28,Saint-Philippe,RE,2020-02-21 06:47:51,-21.36,55.77,84.2,69,75,24.16
29,Ahipara,NZ,2020-02-21 06:50:25,-35.17,173.17,75.0,85,83,1.01
30,Provideniya,RU,2020-02-21 06:50:25,64.38,-173.3,-0.4,70,0,6.71
31,Ostrovnoy,RU,2020-02-21 06:50:25,68.05,39.51,20.3,80,88,33.53
32,Tsuruoka,JP,2020-02-21 06:50:26,38.72,139.82,50.0,81,75,13.87
33,Punta Arenas,CL,2020-02-21 06:50:26,-53.15,-70.92,53.6,76,75,23.04
34,Severo-Kurilsk,RU,2020-02-21 06:50:26,50.68,156.12,17.06,93,100,5.46
35,Butaritari,KI,2020-02-21 06:50:26,3.07,172.79,83.97,78,77,13.67
36,Bluff,NZ,2020-02-21 06:50:27,-46.6,168.33,57.99,78,60,18.99
37,Lompoc,US,2020-02-21 06:50:27,34.64,-120.46,51.01,75,1,3.36
38,Vaini,TO,2020-02-21 06:50:27,-21.2,-175.2,78.8,74,20,8.05
39,Grand Gaube,MU,2020-02-21 06:50:27,-20.01,57.66,82.4,69,20,11.41
40,Caravelas,BR,2020-02-21 06:47:32,-17.71,-39.25,80.71,82,0,12.93
41,Dabola,GN,2020-02-21 06:50:28,10.75,-11.12,68.67,68,16,2.66
42,Wanning,CN,2020-02-21 06:50:28,18.8,110.4,74.95,71,52,11.83
43,Hobart,AU,2020-02-21 06:47:31,-42.88,147.33,62.6,39,20,18.34
44,Srednekolymsk,RU,2020-02-21 06:50:29,67.45,153.68,-15.16,97,93,3.8
45,Uinskoye,RU,2020-02-21 06:50:29,56.88,56.58,31.95,92,83,7.7
46,Port Alfred,ZA,2020-02-21 06:50:30,-33.59,26.89,73.99,81,81,3.49
47,Baghdad,IQ,2020-02-21 06:50:30,33.34,44.4,55.4,71,0,5.82
48,Sorland,NO,2020-02-21 06:47:25,67.67,12.69,37.4,86,40,10.29
49,Ugoofaaru,MV,2020-02-21 06:50:31,5.67,73.0,82.99,76,27,20.87
50,Nagua,DO,2020-02-21 06:50:31,19.38,-69.85,66.88,96,12,3.96
51,Udachnyy,RU,2020-02-21 06:50:31,66.42,112.4,3.2,84,59,6.71
52,Kahului,US,2020-02-21 06:45:46,20.89,-156.47,71.6,68,1,14.99
53,Geraldton,AU,2020-02-21 06:47:28,-28.77,114.6,82.4,61,92,5.82
54,Canico,PT,2020-02-21 06:50:32,32.63,-16.85,57.2,71,40,11.41
55,Bandundu,CD,2020-02-21 06:50:32,-3.32,17.37,76.55,83,87,0.54
56,Kapaa,US,2020-02-21 06:50:33,22.08,-159.32,71.6,73,40,3.36
57,Cape Town,ZA,2020-02-21 06:50:33,-33.93,18.42,71.01,88,20,12.75
58,Jamestown,US,2020-02-21 06:50:33,42.1,-79.24,21.2,72,90,6.93
59,Sinnamary,GF,2020-02-21 06:50:33,5.38,-52.95,78.1,77,96,14.0
60,Roald,NO,2020-02-21 06:50:34,62.58,6.13,43.0,70,40,26.4
61,Lesnoy,RU,2020-02-21 06:50:34,57.62,63.08,28.44,90,22,8.16
62,Busselton,AU,2020-02-21 06:45:48,-33.65,115.33,93.99,9,97,14.07
63,Hithadhoo,MV,2020-02-21 06:47:33,-0.6,73.08,84.24,77,7,14.45
64,Ginir,ET,2020-02-21 06:50:35,7.13,40.7,69.37,52,10,4.94
65,Cockburn Town,TC,2020-02-21 06:46:56,21.46,-71.14,77.59,79,0,16.75
66,Ust-Ilimsk,RU,2020-02-21 06:50:36,58.0,102.66,24.78,88,100,9.89
67,Linjiang,CN,2020-02-21 06:50:36,41.81,126.91,33.13,75,100,10.8
68,Bethel,US,2020-02-21 06:50:36,41.37,-73.41,24.01,48,1,8.05
69,Umm Lajj,SA,2020-02-21 06:50:36,25.02,37.27,67.82,25,0,4.83
70,Atuona,PF,2020-02-21 06:50:37,-9.8,-139.03,81.55,78,82,17.29
71,Pisco,PE,2020-02-21 06:50:37,-13.7,-76.22,73.4,83,100,4.7
72,Manono,CD,2020-02-21 06:50:37,-7.3,27.42,73.2,92,84,2.08
